,0
0,"Covid-19 News Story that Has Me Concerned about More than the Virus | by Justiss Goode | Jun, 2021 | Medium - via @pensignal  Read this story https://t.co/EDEVkyqurE about how one #teenager struggled to go against his parents wishes about getting the #covid #vaccine this year."
1,"RT @ntfcovid19ph: This developed as 866,970 doses of government-procured Pfizer vaccines arrived at the NAIA Terminal 3 via Air Hongkong fl…"
2,RT @JenniferMarguli: Fully vaccinated Minnesota Vikings player was hospitalized yesterday because he was having trouble breathing because o…
3,RT @ShannonJoyRadio: Since children were offered the Covid-19 Vaccine deaths among male Children have risen by 86% – The Expose https://t.c…
4,"RT @stkirsch: You'd think that if the vaccine worked, you'd have lower viral load in vaccinated people, right?!?! https://t.co/A5LfUOavRW"
5,RT @ShannonJoyRadio: Since children were offered the Covid-19 Vaccine deaths among male Children have risen by 86% – The Expose https://t.c…
6,RT @randyhillier: Just a list of athletes who have died or permanently injured shortly after getting the jab- the list of coincidences grow…
7,"RT @Unlocked_UK_: Amazing turnout on today’s demonstration against COVID-19 restrictions, lockdowns, Plan B, vaccine passports/papers pleas…"
8,RT @JenniferMarguli: Fully vaccinated Minnesota Vikings player was hospitalized yesterday because he was having trouble breathing because o…
9,"@jimmykimmel In the EU if you’ve had Covid-19 they give you a card that works just as good as a vaccine card. Stop bashing everyone, you’re not a Doctor. Be more open minded and look beyond the Holly Vaccine."
10,RT @sydneyhimalaya: 人类常常一蠢再蠢Have Americans unwittingly taken part in the largest real-world experiment ever conducted? – An in-depth invest…
11,RT @ShannonJoyRadio: Since children were offered the Covid-19 Vaccine deaths among male Children have risen by 86% – The Expose https://t.c…
12,RT @RickLofgren: A4: A 3rd dose of the COVID-19 vaccine is recommended for people who are fully #vaccinated &amp; might not have had a strong e…
13,RT @carol563: Kyle Warner: Professional Mountain Biker Suffers Several Health Problems After The Pfizer COVID-19 Vaccine https://t.co/GeeqA…
14,RT @TonyHinton2016: Does anyone else agree this is just criminal? Will those responsible ever get justice? https://t.co/xvCxd5S5lk
15,"RT @newsmax: No person who has served in the military should lose his or her veteran's benefits over President Joe Biden's ""authoritarian""…"
16,"they are basically forcing us to have it without actually saying it, by saying if we don't have it then we can't do this or that so that is basically forcing us. This is why I'm wondering why"
17,1. It does not cure Covid19 2. It does not stop you from catching Covid 19
18,"To say I can't go to another country if I have chosen not to have it is alarming in itself as like I stated above, even if I do have it I can still catch it and I can still spread it."
19,It just has me thinking 💭 As of now I have still declined the vaccine as there is too many unanswered questions to just allow something to be injected into my body 
20,"Person B is not vaccinated and, even though they may test negative for the virus, are not allowed inside any of the locations that state they will only allow the vaccinated inside. Wanna piece this together now?  It boils simply down to segregation and discrimination with no real basis for doing so."
21,Person A perpetuates the shaming of Person B by stating that Person B needs to be vaccinated for Person A to be protected.
22,"If your shot works, why do I need one?  If your shot doesn't work, why should I get one?"
23,#unvax #funvax
24,Why does the government have technology to target and manipulate our dna? In this clip they are discussing the VMAT2 or the God Gene that allows some people to have spiritual experiences over others.
25,Listen how they say they can make a weaponized vaccine to target and turn off the gene in people.
26,The God gene called the vesicular monoamine transporter 2 (VMAT2 ) predisposes humans towards spiritual or mystic experiences. #funvax #vmat2
27,Covid-19 Vaccine Is The MARK OF THE BEAST
28,"The RFID chip that is coming to your right hand in 2022 only proves that you are able to buy or sell and enjoy public services.  The “MARK” is the code in the vaccine that was written by BILL GATES (Microsoft), which overwrites what Scientists call the “GOD CODE” in your DNA with “messenger RNA” (mRNA).  "
29,"This proof is coming to your driver’s license this fall, and a chip in your right hand in 2022.  Can’t buy or sell without this MARK.  Already you can’t shop at AmazonGO unless you have proof that you have been vaccinated.  Colleges and Universities require you to have proof of vaccination or students can’t enter college this fall."
30,"Taken a little bit further, it means that human beings are deprived of all their mysteries and secrets, as their DNA can be analyzed and manipulated at the whim of the scientists, who are therefore taking over God's part in human evolution."
31,"Out of Bill Gates own mouth in a meeting with the CIA at the Department of Defense Conference, the covid-19 vaccine has been designed to stop “Fundamental Christians” from being “fanatical” and make us “normal”."
32,"The Government and ‘Factcheckers’ keep debunking this video, claiming that this wasn’t said by Bill Gates.  Don’t be brainwashed.  Hear it for yourself in this ‘leaked video’."
33,"his nefarious plans to somehow, via vaccination, genetically mutate people to no longer have religious fundamentalist views"
34,"U think ur govt has ur best interest at heart?  U think the AMA, CDC & WHO are telling u the truth? Well think again! And again, and again, and again, and again!  #FunVax"
35,Warned of censorship after a U.S. bioterror watchdog asked scientific journals to withhold details of lab work that created a mutant strain of killer flu.
36,"It’s censorship of a high level, and if that starts coming into the scientific arena, we will not know where we are"
37,BEWARE! Every Type of COVID-19 Vaccine Has This Very Secret and Sinister Purpose.
38,"FUNVAX: Globalist Plot to Mandate COVID-19 Vaccine Exposes Shocking Satanic ConspiracyHere’s the main reason why the NWO globalist cabal is dead set on mandating a global COVID-19 vaccination program with immunity certificates. No, it has nothing to do with vaccine-induced immunity"
39,A video of a short segment of that Pentagon briefing was secretly taken by a whistleblower which can be found here: FUNVAXgate: A Pentagon Scheme to Totally Neutralize the God Gene (Video).
40,There are at least 3 essential takeaways from that extremely revealing and radioactive presentation made by an experienced bioweapon scientist who appeared to be the point man for the FunVax project.
41,"extreme secrecy is a respiratory virus, which could be covertly released throughout any city or nation or region of the world."
42,"Because the U.S. Armed Forces have forever denied the existence of chemtrails, most citizenries have been conditioned to falsely believe they are contrails.  In this way, aerosolized vaccines can be furtively administered to the citizenry of any nation that illicitly permits chemical geoengineering operations."
43,The FunVax was initially framed as a military strategy to neutralize terrorists throughout the Middle East.  It took the U.S. Military 7 years to deploy that particular bioweapon which manifested mainly in Saudi Arabia as Middle East respiratory syndrome (MERS)
44,Everything points to COVID-19 as a FunVax bioweapon that has been purposefully released worldwide via various means of propagation in order to exponentially multiply the vectors of dissemination of the concealed VMAT2 vaccine
45,"Therefore, the only way forward for the New World Order globalist cabal is to fully activate their “Quaternary Weapon System” that was designed to facilitate the VMAT2 vaccination process. See: QUATERNARY WEAPON SYSTEM Activated Before Each Coronavirus Cluster Explosion"
46,"Perhaps the single best way to terminate this truly “Shocking Satanic Conspiracy” is to expose it and disclose it like there’s no tomorrow … … … because if the truth seekers don’t do that, there won’t be a tomorrow!   With great urgency, the real perps at the very top of the reptilian food chain need to be exposed like never before. See: The KHAZARIAN MAFIA: You Don’t Know, What You Don’t Know!"
47,COVID-19 biowar being waged against US is that they know we are on to them …. and that we are coming for each and every one of them.  Here are just two of the most incorrigible international career criminals who must be dealt with sooner than later. Public Enemy #1: BILL GATES: A Menace to Society Who Must Be Arrested and Prosecuted for Crimes Against Humanity
48,Just means it's working along with blood clots and heart inflammation. All good stuff though
49,stand strong and say no to force vaccination on use and our kids contact Mr. Michael and be safe his really God sent
50,Why poison your blood with the jab when you can get yourself a verified card to meet up your daily activities without taking the jab. Hit the telegram link to join our channel
51,The best method is herd immunity
52,"Beware!!! We all know taking the vaccine is a dangerous move for us,forcing our population in getting the shot. Get your Covid -19 vaccine pass without been vaccinated with"
53,Please do not take vaccine or vaccinate your children rather then getting Covid-19 Vaccine card
54,Anti vaccine. Let's all stand against the spread of this vaccines to be safe and our love ones 🙏🙏God our helper
55,LATEST development of the 💉💉💉 contents!! DO NOT TAKE IT NO MATTER THE COST
56,Could the mRNA “jab” be changing peoples brain function to make them more compliant with authority!?!?!? They were talking about this kind of technology in 2005 to reduce religious fundamentalism. Face with spiral eyesFace with spiral eyesFace with spiral eyes
57,#FakeVax #FunVax #FuckMandates
58,There's a belief (did a Poll on this) the jabbed are acting noticably agitated & in many cases towards the unjabbed
59,Fair to speculate among the Vectors causing the Mass Psychosis is the advancement of #FunVax which much of Humanity has likely been exposed to over the Years via steady atmospheric micro doses >
60,"Dana White says he won't mandate vaccines for fighters: 'This is a free country, do what you want'"
61,"Democratic governor turns on Biden vaccine mandate, not 'correct' or 'effective' solution"
62,I’d prefer not to be an experiment
63,Fuck Corona Vaccine Mandate...
64,How you convince the general public when the medical professionals don’t trust the vaccineThinking face
65,All lawyers take note. A judge in the US determines the same. The only one fda jab approved is unavailable
66,The ‘no jab no job’ policy is inhumane. To take away a persons right to earn b/c they won’t take an EXPERIMENTAL medical treatment still in TRIAL phases is despicable. I am ashamed to be a New Zealander and I will NEVER forgive the govt for this.
67,In a small town north of Gympie the school loses almost all it's teachers in a walk off prior to jab being made compulsory. Seems there's mutiny in Qld. Lots of town councils & business ppl banding together in rebellion to coming restrictions.
68,Except for every state government who have mandated the covid jab with coercion and used the Media to push their propaganda. All of you can get fucked
69,"You can't catch a virus.  Germ theory is fiction.  Masks are useless.  Social distancing is useless.  Lockdowns are useless.  The jab is poison.  This is a genocide.  They have stated, in the Georgia Guidestones,  they want to reduce the world's population by 95%."
70,Court rejected Pfizer’s request to keep jab info hidden for 55 years. They said no and the first 30 pages have been released! Here’s a link to the #pfizergates 1.200 dead & thousands injured in first 90 days. 
71,"Good luck imposing society-wide vaccine mandates when there are over 3.5Bn people in the world (45%) who have not had a single jab, millions upon millions by choice.Coercion will get so far but the rights of the many will not be compromised by the ideological will of the few."
72,The vast majority of the deceased are jabbed people. Israel ADMITS almost all covid infections & deaths are in jabbed people. They acknowledge the 3 Booster jab caused IMMUNO EROSION!
73,"42,085 participants & 1223 deaths. That's a fatality rate of 3%. You are 15x more likely of dying from the Pfizer jab than you are with covid. This post doesn't even list adverse reactions. The cure is worse than the disease. In reality it's 50x greater."
74,"in the end...we all have to get covid...natural infection is the only way to create herd immunity. fine, get the jab and get covid. no problem. dont force me to do what you want to do tho"
