Id,Label,timeset,modularity_class,pageranks,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1346833902841823234,1346833902841823234,,7,0,0,0,0,0,0
1346833903617781762,1346833903617781762,,12,0.014395,0.909866,3,0.777778,0.880952,0.892782
1346833909946798080,1346833909946798080,,7,0,0,0,0,0,0
1346833910219513857,1346833910219513857,,7,0,0,0,0,0,0
1346833915856773121,1346833915856773121,,23,0.011984,0.009823,7,0.26,0.329487,0
1346833916733378564,1346833916733378564,,12,0.01505,0.822687,2,0.813953,0.885714,31.32901
1346833921204391936,1346833921204391936,,1,0,0,0,0,0,0
1346833923469402115,1346833923469402115,,7,0,0,0,0,0,0
1346833923653971968,1346833923653971968,,1,0,0,0,0,0,0
1346833926363500546,1346833926363500546,,12,0.013402,0.821801,3,0.744681,0.847619,2.380753
1346833939118354432,1346833939118354432,,23,0.006066,0.133274,5,0.337662,0.411538,0
1346833940330504192,1346833940330504192,,7,0,0,0,0,0,0
1346833941081239553,1346833941081239553,,19,0.012838,0.918645,2,0.852632,0.91358,4.192827
1346833942972919809,1346833942972919809,,6,0.020268,0.727763,2,0.714286,0.8,0
1346833945271349249,1346833945271349249,,7,0,0,0,0,0,0
1346833948039663619,1346833948039663619,,7,0,0,0,0,0,0
1346833950942101512,1346833950942101512,,6,0.016249,0.501157,2,0.642857,0.722222,0
1346833955157229569,1346833955157229569,,8,0.035714,1,1,1,1,0
1346833955857727490,1346833955857727490,,0,0.166667,1,1,1,1,0
1346833957694930945,1346833957694930945,,7,0,0,0,0,0,0
1346833965924147205,1346833965924147205,,7,0,0,0,0,0,0
1346833973389901825,1346833973389901825,,1,0,0,0,0,0,0
1346833975466201088,1346833975466201088,,19,0.007865,0.471078,2,0.642857,0.722222,0.450354
1346833979203334145,1346833979203334145,,23,0.022825,0.97445,5,0.485981,0.687179,14.211753
1346833989110288385,1346833989110288385,,2,0.051599,0.948625,2,0.863636,0.921053,0
1346833991840772098,1346833991840772098,,15,0.015385,1,1,1,1,0
1346833997482094593,1346833997482094593,,0,0.166667,1,1,1,1,0
1346833999663128577,1346833999663128577,,7,0,0,0,0,0,0
1346834000447483908,1346834000447483908,,23,0.021442,0.643279,6,0.403101,0.619872,38.298999
1346834001210720258,1346834001210720258,,7,0,0,0,0,0,0
1346834008563453952,1346834008563453952,,6,0.016249,0.501157,2,0.642857,0.722222,0
1346834009414889473,1346834009414889473,,19,0.014671,0.995536,2,0.952941,0.975309,19.330618
1346834010597691392,1346834010597691392,,6,0.026497,0.868909,2,0.833333,0.9,12
1346834014229946369,1346834014229946369,,13,0.007393,0.013018,4,0.363636,0.392857,0
1346834015177867264,1346834015177867264,,1,0,0,0,0,0,0
1346834016188641281,1346834016188641281,,15,0.015385,1,1,1,1,0
1346834034643656704,1346834034643656704,,1,0,0,0,0,0,0
1346834039030747136,1346834039030747136,,12,0.015614,0.973659,3,0.833333,0.919048,3.718466
1346834040297439233,1346834040297439233,,12,0.013483,0.852786,3,0.744681,0.852381,0
1346834040976916480,1346834040976916480,,7,0,0,0,0,0,0
1346834041610227714,1346834041610227714,,12,0.015614,0.973659,3,0.833333,0.919048,3.718466
1346834043321475073,1346834043321475073,,12,0.015614,0.973659,3,0.833333,0.919048,3.718466
1346834044282167296,1346834044282167296,,12,0.015107,0.952752,3,0.813953,0.904762,1.928467
1346834049088843783,1346834049088843783,,6,0.016249,0.501157,2,0.642857,0.722222,0
1346834049579433984,1346834049579433984,,1,0,0,0,0,0,0
1346834051903201289,1346834051903201289,,19,0.010205,0.709893,2,0.72973,0.814815,0.974653
1346834056802140161,1346834056802140161,,5,0.25,1,1,1,1,0
1346834059901677569,1346834059901677569,,12,0.015107,0.952752,3,0.813953,0.904762,1.928467
1346834062682566658,1346834062682566658,,13,0.034538,0.910796,3,0.8,0.886905,0
1346834073684238336,1346834073684238336,,5,0.25,1,1,1,1,0
1346834074225152000,1346834074225152000,,1,0,0,0,0,0,0
1346834082198646785,1346834082198646785,,20,0.022484,0.32,3,0.478723,0.603704,16.333333
1346834084119494656,1346834084119494656,,1,0,0,0,0,0,0
1346834087470915586,1346834087470915586,,7,0,0,0,0,0,0
1346834094475231233,1346834094475231233,,2,0.051599,0.948625,2,0.863636,0.921053,0
1346834100515168256,1346834100515168256,,23,0.013848,0.254708,7,0.333333,0.500641,3.122078
1346834113332994049,1346834113332994049,,3,0.5,1,1,1,1,0
1346834127811715072,1346834127811715072,,19,0.01485,0.989128,2,0.952941,0.975309,33.937401
1346834131037130752,1346834131037130752,,12,0.010797,0.284407,2,0.608696,0.678571,86.994261
1346834135680221192,1346834135680221192,,7,0,0,0,0,0,0
1346834135948677123,1346834135948677123,,20,0.015976,0.448511,4,0.441176,0.555556,0
1346834144702181383,1346834144702181383,,9,0.25,1,1,1,1,0
1346834147382333440,1346834147382333440,,1,0,0,0,0,0,0
1346834163756892161,1346834163756892161,,19,0.014649,1,2,0.952941,0.975309,17.979458
1346834168416772100,1346834168416772100,,2,0.062684,1,1,1,1,9.75
1346834169934987267,1346834169934987267,,13,0.04056,1,3,0.903226,0.958333,5.288889
1346834174351732736,1346834174351732736,,19,0.011867,0.836077,2,0.80198,0.876543,4.780771
1346834178411794433,1346834178411794433,,1,0,0,0,0,0,0
1346834179670106112,1346834179670106112,,14,0.2,1,1,1,1,0
1346834179703648257,1346834179703648257,,7,0,0,0,0,0,0
1346834200599490566,1346834200599490566,,13,0.04056,1,3,0.903226,0.958333,5.288889
1346834203497930754,1346834203497930754,,15,0.015385,1,1,1,1,0
1346834207419600898,1346834207419600898,,2,0.026161,0.284262,2,0.59375,0.657895,0
1346834207759327232,1346834207759327232,,7,0,0,0,0,0,0
1346834215631990786,1346834215631990786,,0,0.166667,1,1,1,1,0
1346834216865189888,1346834216865189888,,19,0.010455,0.670211,2,0.72973,0.814815,9.357
1346834218735841280,1346834218735841280,,13,0.034538,0.910796,3,0.8,0.886905,0
1346834241129242625,1346834241129242625,,19,0.010205,0.709893,2,0.72973,0.814815,0.974653
1346834246099480578,1346834246099480578,,20,0.024613,0.286498,4,0.378151,0.555556,8.4
1346834253154160643,1346834253154160643,,20,0.025543,0.538785,2,0.633803,0.711111,239.4
1346834254005559297,1346834254005559297,,13,0.04056,1,3,0.903226,0.958333,5.288889
1346834261886849025,1346834261886849025,,12,0.015614,0.973659,3,0.833333,0.919048,3.718466
1346834265334542336,1346834265334542336,,12,0.008351,0.324916,2,0.603448,0.671429,3.875836
1346834270912991232,1346834270912991232,,15,0.015385,1,1,1,1,0
1346834276252266501,1346834276252266501,,7,0,0,0,0,0,0
1346834276587810818,1346834276587810818,,15,0.015385,1,1,1,1,0
1346834276717916161,1346834276717916161,,15,0.015385,1,1,1,1,0
1346834283592351744,1346834283592351744,,12,0.012376,0.627374,2,0.714286,0.8,18.458593
1346834295726465026,1346834295726465026,,1,0,0,0,0,0,0
1346834298045919233,1346834298045919233,,7,0,0,0,0,0,0
1346834301283946499,1346834301283946499,,19,0.01257,0.861023,2,0.826531,0.895062,13.669013
1346834317687795712,1346834317687795712,,19,0.014475,0.989998,2,0.94186,0.969136,16.685939
1346834323702333441,1346834323702333441,,13,0.04056,1,3,0.903226,0.958333,5.288889
1346834326319632385,1346834326319632385,,13,0.04056,1,3,0.903226,0.958333,5.288889
1346834331591966720,1346834331591966720,,4,1,0,0,0,0,0
1346834332246298624,1346834332246298624,,7,0,0,0,0,0,0
1346834333508771845,1346834333508771845,,19,0.013174,0.942013,2,0.870968,0.925926,5.237808
1346834337237327873,1346834337237327873,,13,0.04056,1,3,0.903226,0.958333,5.288889
1346834345013612549,1346834345013612549,,13,0.04056,1,3,0.903226,0.958333,5.288889
1346834345395367938,1346834345395367938,,1,0,0,0,0,0,0
1346834348847325185,1346834348847325185,,6,0.016249,0.501157,2,0.642857,0.722222,0
1346834385862090755,1346834385862090755,,7,0,0,0,0,0,0
1346834405097164801,1346834405097164801,,1,0,0,0,0,0,0
1346834418959347714,1346834418959347714,,12,0.005043,0.091778,3,0.492958,0.542857,0
1346834427578515457,1346834427578515457,,15,0.015385,1,1,1,1,0
1346834431873413121,1346834431873413121,,6,0.015742,0.463633,2,0.633803,0.711111,0
1346834444355829760,1346834444355829760,,20,0.021182,0.787581,4,0.46875,0.622222,0
1346834447912452097,1346834447912452097,,23,0.018883,0.011911,7,0.211382,0.312088,0
1346834460889767937,1346834460889767937,,7,0,0,0,0,0,0
1346834461195984897,1346834461195984897,,22,0.061144,0.534042,2,0.666667,0.75,0
1346834461573459970,1346834461573459970,,5,0.25,1,1,1,1,0
1346834467961384966,1346834467961384966,,1,0,0,0,0,0,0
1346834476060598274,1346834476060598274,,19,0.01485,0.989128,2,0.952941,0.975309,33.937401
1346834476521975810,1346834476521975810,,13,0.039568,0.979786,2,0.903226,0.946429,6.780952
1346834480959520771,1346834480959520771,,1,0,0,0,0,0,0
1346834483161354241,1346834483161354241,,10,0.058824,1,1,1,1,0
1346834489721446400,1346834489721446400,,13,0.034538,0.910796,3,0.8,0.886905,0
1346834491424305153,1346834491424305153,,10,0.058824,1,1,1,1,0
1346834494649749504,1346834494649749504,,12,0.015107,0.952752,3,0.813953,0.904762,1.928467
1346834504078524416,1346834504078524416,,1,0,0,0,0,0,0
1346834520788643840,1346834520788643840,,1,0,0,0,0,0,0
1346834524227985415,1346834524227985415,,15,0.015385,1,1,1,1,0
1346834527151415296,1346834527151415296,,13,0.018784,0.390728,4,0.571429,0.66369,0
1346834534843752450,1346834534843752450,,22,0.088245,0.886751,2,0.833333,0.9,0
1346834539533000707,1346834539533000707,,19,0.008234,0.479889,3,0.637795,0.728395,1.735599
1346834541932003332,1346834541932003332,,19,0.014671,0.995536,2,0.952941,0.975309,19.330618
1346834548768862209,1346834548768862209,,20,0.015976,0.448511,4,0.441176,0.555556,0
1346834567399944194,1346834567399944194,,20,0.015976,0.448511,4,0.441176,0.555556,0
1346834568037478404,1346834568037478404,,7,0,0,0,0,0,0
1346834575650140160,1346834575650140160,,10,0.058824,1,1,1,1,0
1346834591189897216,1346834591189897216,,19,0.01257,0.861023,2,0.826531,0.895062,13.669013
1346834594088308736,1346834594088308736,,8,0.035714,1,1,1,1,0
1346834603789619201,1346834603789619201,,1,0,0,0,0,0,0
1346834604251099136,1346834604251099136,,16,0.125,1,1,1,1,0
1346834607283576834,1346834607283576834,,19,0.012838,0.918645,2,0.852632,0.91358,4.192827
1346834614048980993,1346834614048980993,,1,0,0,0,0,0,0
1346834616074858497,1346834616074858497,,7,0,0,0,0,0,0
1346834619673427970,1346834619673427970,,1,0,0,0,0,0,0
1346834620017496066,1346834620017496066,,12,0.015107,0.952752,3,0.813953,0.904762,1.928467
1346834620956823552,1346834620956823552,,0,0.166667,1,1,1,1,0
1346834625382014977,1346834625382014977,,2,0.062684,1,1,1,1,9.75
1346834627793625088,1346834627793625088,,20,0.022484,0.32,3,0.478723,0.603704,16.333333
1346834633737039873,1346834633737039873,,20,0.022484,0.32,3,0.478723,0.603704,16.333333
1346834645028114435,1346834645028114435,,7,0,0,0,0,0,0
1346834659099906052,1346834659099906052,,23,0.023655,1,5,0.490566,0.696795,18.938969
1346834659221487616,1346834659221487616,,6,0.02662,0.858854,2,0.833333,0.9,13.909091
1346834660660285443,1346834660660285443,,12,0.010797,0.284407,2,0.608696,0.678571,86.994261
1346834667777871875,1346834667777871875,,12,0.015614,0.973659,3,0.833333,0.919048,3.718466
1346834667815587841,1346834667815587841,,12,0.015614,0.973659,3,0.833333,0.919048,3.718466
1346834667928834049,1346834667928834049,,12,0.015614,0.973659,3,0.833333,0.919048,3.718466
1346834668016975872,1346834668016975872,,12,0.015614,0.973659,3,0.833333,0.919048,3.718466
